Speed,Altitude,Distance,Direction,Acceleration,RadarSignature,TrajectoryAngle,ObjectType,ThreatLevel
825,9833,31,Towards,10,10,59,Fighter,Medium
798,9920,25,Towards,7,10,54,Fighter,Medium
918,13022,58,Towards,11,10,31,Fighter,High
2132,9994,63,Away,3,10,73,Unknown,Unknown
245,14057,51,Away,18,2,5,Unknown,Unknown
866,9799,95,Away,2,6,60,Unknown,Unknown
88,457,13,Away,1,3,30,Drone,Unknown
2101,5347,80,Away,20,5,71,Missile,Unknown
123,414,23,Towards,3,2,24,Drone,Low
294,2071,8,Towards,3,8,19,Helicopter,Medium
2194,3945,72,Towards,14,6,90,Missile,High
60,375,60,Away,3,3,14,Drone,Unknown
159,2051,84,Towards,3,5,26,Helicopter,Medium
888,12352,89,Away,10,7,51,Fighter,Medium
811,3772,82,Away,11,10,50,Unknown,Unknown
217,1004,13,Away,2,8,18,Helicopter,Medium
886,9438,34,Away,9,10,42,Fighter,Medium
1164,10047,71,Towards,8,10,39,Fighter,High
56,245,46,Away,4,2,29,Drone,Unknown
196,2810,35,Away,5,7,26,Helicopter,Medium
127,192,58,Towards,4,3,26,Drone,Low
265,1985,63,Away,2,5,17,Helicopter,Medium
1146,14043,21,Away,6,8,56,Fighter,Medium
746,11922,41,Away,10,7,64,Fighter,Medium
2099,3240,31,Away,10,6,85,Missile,Unknown
2159,9260,85,Away,13,4,76,Missile,Unknown
2039,10101,72,Towards,12,8,79,Missile,High
146,198,82,Towards,3,3,20,Drone,Low
861,12492,13,Towards,9,8,57,Fighter,Medium
118,322,34,Away,4,3,12,Drone,Unknown
2626,6865,33,Towards,14,4,80,Missile,Critical
276,1732,74,Away,3,5,28,Helicopter,Medium
763,9817,23,Towards,9,7,35,Fighter,Medium
761,14291,73,Away,6,10,49,Fighter,Medium
944,10950,44,Away,6,10,33,Fighter,Medium
231,2788,8,Away,4,6,11,Helicopter,Medium
733,3951,93,Towards,12,9,81,Unknown,Unknown
87,285,96,Away,3,2,14,Drone,Unknown
189,988,82,Towards,5,6,21,Helicopter,Medium
1544,13566,8,Towards,13,6,55,Unknown,Unknown
2752,1864,88,Towards,17,7,88,Missile,High
62,233,93,Towards,2,3,18,Drone,Low
1176,10925,25,Away,9,7,48,Fighter,Medium
871,9249,19,Away,7,10,33,Fighter,Medium
2303,5658,44,Away,17,4,81,Missile,Unknown
180,1956,6,Towards,2,7,32,Helicopter,Medium
954,10100,51,Away,11,8,43,Fighter,Medium
271,2844,13,Away,3,7,21,Helicopter,Medium
1065,10187,75,Away,7,8,54,Fighter,Medium
844,14550,19,Away,11,10,34,Fighter,Medium
853,5960,37,Towards,17,4,15,Unknown,Unknown
1785,5049,21,Towards,15,6,78,Missile,Critical
789,12833,19,Away,10,8,63,Fighter,Medium
178,2413,35,Away,4,6,39,Helicopter,Medium
242,1470,87,Towards,2,8,15,Helicopter,Medium
1112,7109,41,Towards,18,4,87,Unknown,Unknown
126,466,38,Towards,1,3,9,Drone,Low
1138,5070,76,Towards,15,7,85,Unknown,Unknown
258,2914,69,Away,3,5,23,Helicopter,Medium
2852,10876,47,Towards,19,7,78,Missile,Critical
1755,9861,77,Away,12,8,89,Missile,Unknown
1495,2131,33,Towards,17,5,85,Missile,Critical
131,489,82,Away,3,3,6,Drone,Unknown
120,329,59,Towards,2,3,8,Drone,Low
80,273,80,Towards,2,1,29,Drone,Low
222,2547,90,Towards,4,8,20,Helicopter,Medium
749,9816,96,Away,8,8,40,Fighter,Medium
2912,2868,96,Towards,15,5,84,Missile,High
433,1570,24,Towards,18,4,68,Unknown,Unknown
106,440,39,Towards,3,2,15,Drone,Low
248,2796,29,Towards,2,7,12,Helicopter,Medium
223,2153,45,Away,3,8,25,Helicopter,Medium
203,2449,69,Towards,5,6,19,Helicopter,Medium
1089,10205,7,Towards,10,7,39,Fighter,Critical
209,1006,51,Towards,4,7,32,Helicopter,Medium
847,14825,84,Towards,15,6,58,Unknown,Unknown
1519,9478,58,Away,18,7,73,Missile,Unknown
848,8567,79,Towards,10,8,69,Fighter,Medium
2237,541,52,Away,15,4,77,Missile,Unknown
212,2057,96,Away,2,6,38,Helicopter,Medium
2316,4534,89,Towards,14,10,82,Unknown,Unknown
1125,11377,87,Away,9,10,41,Fighter,Medium
1933,9501,13,Away,13,5,84,Missile,Unknown
177,2485,77,Towards,2,6,18,Helicopter,Medium
141,100,71,Away,2,2,21,Drone,Unknown
2544,2456,96,Away,20,5,75,Missile,Unknown
75,285,25,Towards,2,1,3,Drone,Low
60,459,82,Towards,2,1,5,Drone,Low
1544,7214,7,Away,9,6,32,Unknown,Unknown
2464,11190,71,Towards,20,2,44,Unknown,Unknown
2455,7737,13,Away,7,3,62,Unknown,Unknown
187,2899,60,Towards,4,8,25,Helicopter,Medium
939,11787,59,Away,9,9,30,Fighter,Medium
359,192,66,Towards,10,1,48,Unknown,Unknown
1156,13720,41,Away,4,9,33,Unknown,Unknown
1138,11970,54,Away,9,9,60,Fighter,Medium
993,13661,48,Away,9,9,59,Fighter,Medium
212,1630,36,Towards,2,5,16,Helicopter,Medium
1306,7523,86,Away,2,7,71,Unknown,Unknown
1187,14957,70,Away,12,7,51,Fighter,Medium
126,447,21,Towards,4,1,15,Drone,Low
2679,6916,44,Away,11,5,79,Missile,Unknown
58,187,85,Towards,1,1,10,Drone,Low
125,469,78,Towards,4,1,13,Drone,Low
76,205,33,Away,4,1,20,Drone,Unknown
147,224,22,Away,2,2,5,Drone,Unknown
2155,7374,27,Away,13,10,7,Unknown,Unknown
833,11998,25,Away,17,1,21,Unknown,Unknown
2019,8278,80,Towards,5,1,37,Unknown,Unknown
965,12252,70,Away,4,3,21,Unknown,Unknown
1582,12912,69,Towards,8,10,49,Unknown,Unknown
1129,13447,31,Away,8,10,43,Fighter,Medium
84,275,15,Away,3,2,19,Drone,Unknown
233,2208,63,Away,7,6,4,Unknown,Unknown
174,883,60,Away,5,6,30,Helicopter,Medium
198,1200,47,Away,4,6,39,Helicopter,Medium
1488,14410,90,Towards,1,9,47,Unknown,Unknown
169,925,76,Towards,4,7,14,Helicopter,Medium
276,1419,9,Towards,4,7,37,Helicopter,Medium
289,1095,91,Away,4,6,21,Helicopter,Medium
2278,2043,93,Towards,3,6,89,Unknown,Unknown
1690,691,38,Away,19,8,75,Missile,Unknown
150,282,89,Towards,1,3,7,Drone,Low
273,2900,77,Towards,5,6,23,Helicopter,Medium
93,324,64,Away,2,2,5,Drone,Unknown
169,842,61,Away,5,7,18,Helicopter,Medium
60,261,73,Away,3,2,13,Drone,Unknown
52,134,15,Away,2,3,14,Drone,Unknown
746,1101,81,Towards,4,10,84,Unknown,Unknown
373,12587,59,Away,12,1,0,Unknown,Unknown
1229,6863,43,Towards,5,5,20,Unknown,Unknown
92,433,85,Away,3,2,11,Drone,Unknown
137,437,22,Towards,3,1,7,Drone,Low
987,12859,14,Towards,6,8,63,Fighter,Critical
1617,8605,60,Towards,17,6,80,Missile,High
1073,8150,57,Away,12,7,42,Fighter,Medium
1560,7317,53,Towards,20,7,90,Missile,High
903,13577,26,Towards,12,8,55,Fighter,Critical
626,12428,90,Towards,1,4,49,Unknown,Unknown
73,418,27,Towards,2,2,11,Drone,Low
291,2025,68,Away,2,7,20,Helicopter,Medium
104,386,25,Towards,3,3,1,Drone,Low
195,1016,36,Towards,3,8,12,Helicopter,Medium
2100,4955,38,Towards,14,8,84,Missile,Critical
224,2054,58,Towards,5,7,25,Helicopter,Medium
2340,11494,71,Away,16,8,79,Missile,Unknown
230,1763,17,Towards,5,7,33,Helicopter,Medium
1916,756,27,Away,12,8,80,Missile,Unknown
2890,3974,25,Away,15,8,72,Missile,Unknown
2125,8317,58,Away,11,6,90,Missile,Unknown
1369,9457,80,Towards,18,4,72,Missile,High
794,10314,98,Away,11,10,40,Fighter,Medium
1036,7541,75,Towards,15,4,3,Unknown,Unknown
1280,10982,91,Towards,10,8,79,Missile,High
2403,4805,21,Away,1,3,66,Unknown,Unknown
229,1253,62,Away,3,6,27,Helicopter,Medium
190,1040,47,Away,4,6,40,Helicopter,Medium
257,618,64,Towards,3,7,38,Helicopter,Medium
58,8896,35,Towards,13,8,71,Unknown,Unknown
127,146,17,Towards,1,3,22,Drone,Low
2541,4954,78,Away,16,8,70,Missile,Unknown
1485,9519,96,Towards,10,8,81,Missile,High
856,8643,26,Away,8,9,53,Fighter,Medium
760,391,90,Towards,18,10,69,Unknown,Unknown
80,221,16,Towards,1,2,5,Drone,Low
2488,10050,33,Towards,16,5,70,Missile,Critical
197,1247,71,Away,3,7,21,Helicopter,Medium
73,350,30,Towards,1,2,29,Drone,Low
716,10918,99,Away,10,9,32,Fighter,Medium
1155,11681,63,Towards,11,7,59,Fighter,High
155,1813,21,Towards,4,5,36,Helicopter,Medium
1206,2606,62,Away,18,5,76,Missile,Unknown
140,359,61,Towards,2,2,2,Drone,Low
926,14678,16,Towards,10,9,58,Fighter,Critical
1780,7870,53,Towards,12,4,71,Missile,High
220,1218,34,Away,2,5,35,Helicopter,Medium
271,633,41,Towards,4,6,38,Helicopter,Medium
1119,8884,11,Towards,9,8,37,Fighter,Critical
215,1278,59,Towards,4,7,35,Helicopter,Medium
65,217,76,Towards,4,1,11,Drone,Low
185,2426,89,Towards,5,8,21,Helicopter,Medium
115,281,64,Towards,1,1,22,Drone,Low
171,933,21,Away,2,7,12,Helicopter,Medium
907,14811,53,Away,6,8,31,Fighter,Medium
252,2758,61,Away,5,5,34,Helicopter,Medium
287,2822,40,Away,4,5,37,Helicopter,Medium
1288,8387,63,Away,12,9,26,Unknown,Unknown
381,1103,24,Towards,12,9,77,Unknown,Unknown
1554,10540,63,Away,11,2,48,Unknown,Unknown
1513,13160,65,Towards,14,9,75,Unknown,Unknown
61,8602,91,Away,15,2,65,Unknown,Unknown
2754,10288,18,Away,10,8,71,Missile,Unknown
186,2958,67,Towards,3,5,25,Helicopter,Medium
1152,11193,64,Towards,11,8,35,Fighter,High
1186,9264,30,Towards,6,10,57,Fighter,Critical
96,300,78,Away,3,1,12,Drone,Unknown
1098,14585,63,Away,8,8,53,Fighter,Medium
294,1154,47,Away,3,5,12,Helicopter,Medium
130,393,18,Away,2,1,0,Drone,Unknown
785,14376,35,Away,8,9,57,Fighter,Medium
925,10304,59,Away,6,7,65,Fighter,Medium
1312,4951,98,Away,18,6,70,Missile,Unknown
99,300,50,Towards,4,3,28,Drone,Low
1898,4292,10,Towards,18,6,77,Missile,Critical
182,2662,57,Towards,5,8,27,Helicopter,Medium
1118,12951,24,Towards,12,8,58,Fighter,Critical
2920,10292,9,Towards,11,5,70,Missile,Critical
2587,6767,79,Away,15,6,74,Missile,Unknown
68,190,24,Away,4,1,0,Drone,Unknown
1051,9707,69,Away,7,10,41,Fighter,Medium
86,199,48,Away,2,1,1,Drone,Unknown
399,5699,12,Away,12,5,67,Unknown,Unknown
216,1520,59,Towards,4,8,15,Helicopter,Medium
72,465,49,Away,4,3,11,Drone,Unknown
1619,7106,99,Away,11,4,71,Missile,Unknown
2386,5990,41,Away,5,5,44,Unknown,Unknown
1070,8420,86,Away,10,9,40,Fighter,Medium
2658,9006,80,Away,13,6,88,Missile,Unknown
794,10447,93,Towards,6,7,31,Fighter,Medium
56,338,92,Towards,2,1,29,Drone,Low
198,6189,21,Away,20,3,1,Unknown,Unknown
779,13238,62,Towards,6,9,47,Fighter,Medium
179,1140,13,Away,3,8,10,Helicopter,Medium
1437,6201,10,Towards,16,3,21,Unknown,Unknown
2766,2148,19,Towards,18,4,89,Missile,Critical
1523,4361,26,Away,15,4,71,Missile,Unknown
2179,2215,99,Towards,12,4,79,Missile,High
2387,8295,99,Towards,16,4,82,Missile,High
248,924,98,Away,3,6,32,Helicopter,Medium
856,9358,20,Away,11,9,61,Fighter,Medium
920,9241,32,Away,11,9,58,Fighter,Medium
1202,1232,86,Away,14,6,87,Missile,Unknown
2672,9439,34,Towards,17,8,83,Missile,Critical
2573,7452,50,Towards,20,4,80,Missile,High
973,8511,50,Towards,9,8,34,Fighter,High
993,13561,91,Away,6,9,33,Fighter,Medium
1530,4881,100,Away,14,4,90,Missile,Unknown
1677,2973,66,Away,19,8,11,Unknown,Unknown
965,10426,17,Towards,9,10,61,Fighter,Critical
1413,3783,32,Towards,18,5,79,Missile,Critical
2023,6601,10,Towards,13,7,41,Unknown,Unknown
159,1000,50,Towards,4,7,25,Helicopter,Medium
194,1605,88,Towards,4,5,40,Helicopter,Medium
135,273,10,Towards,2,2,18,Drone,Low
1161,9206,42,Towards,10,9,56,Fighter,Critical
248,1438,80,Away,2,7,34,Helicopter,Medium
102,345,25,Away,2,3,25,Drone,Unknown
136,292,82,Away,1,1,8,Drone,Unknown
114,270,64,Towards,4,3,13,Drone,Low
237,769,35,Away,3,6,28,Helicopter,Medium
125,202,49,Away,1,3,7,Drone,Unknown
2503,9280,83,Towards,15,6,76,Missile,High
2227,1725,26,Towards,13,8,74,Missile,Critical
218,1685,25,Towards,4,5,32,Helicopter,Medium
125,326,74,Away,3,2,13,Drone,Unknown
106,11006,23,Away,11,2,22,Unknown,Unknown
888,6100,69,Towards,15,10,21,Unknown,Unknown
2881,10956,55,Away,19,8,86,Missile,Unknown
1181,10891,11,Away,8,9,47,Fighter,Medium
1740,2476,43,Towards,17,8,74,Missile,Critical
293,2016,31,Away,4,6,40,Helicopter,Medium
723,12485,27,Away,10,7,33,Fighter,Medium
1081,14674,79,Towards,7,7,48,Fighter,High
2327,951,64,Towards,18,8,70,Missile,High
1007,14679,83,Towards,6,7,65,Fighter,High
97,361,29,Away,1,2,1,Drone,Unknown
103,209,9,Towards,1,2,29,Drone,Low
1710,10806,78,Away,11,6,82,Missile,Unknown
82,390,12,Away,4,1,23,Drone,Unknown
647,7513,45,Towards,7,6,20,Unknown,Unknown
2174,3621,35,Towards,8,3,37,Unknown,Unknown
179,1396,41,Towards,5,5,35,Helicopter,Medium
896,12181,77,Away,8,9,48,Fighter,Medium
149,111,14,Away,2,3,14,Drone,Unknown
2396,6640,84,Away,18,4,81,Missile,Unknown
245,1055,46,Towards,2,5,11,Helicopter,Medium
247,619,83,Away,5,5,35,Helicopter,Medium
1008,11138,55,Away,10,10,69,Fighter,Medium
931,8089,59,Towards,7,10,68,Fighter,High
2748,11440,67,Towards,16,4,90,Missile,High
2392,7890,74,Away,2,10,19,Unknown,Unknown
2710,873,40,Away,18,8,89,Missile,Unknown
2562,3226,29,Away,11,6,89,Missile,Unknown
2442,7038,31,Away,18,6,90,Missile,Unknown
2494,14190,35,Away,13,8,79,Unknown,Unknown
2822,1617,61,Towards,10,7,77,Missile,High
79,115,93,Away,4,2,29,Drone,Unknown
203,1717,92,Towards,2,7,24,Helicopter,Medium
50,194,66,Away,2,3,30,Drone,Unknown
1501,3340,94,Towards,19,5,87,Missile,High
903,13384,31,Away,10,10,55,Fighter,Medium
250,2868,71,Towards,3,8,31,Helicopter,Medium
1183,10645,14,Towards,9,10,53,Fighter,Critical
110,211,13,Away,1,2,7,Drone,Unknown
103,168,47,Away,3,3,18,Drone,Unknown
1143,1534,85,Towards,15,6,36,Unknown,Unknown
980,9146,5,Away,12,10,37,Fighter,Medium
1618,9244,23,Away,5,9,16,Unknown,Unknown
151,1077,64,Away,3,7,11,Helicopter,Medium
2191,516,92,Away,16,7,83,Missile,Unknown
240,2438,79,Away,4,8,40,Helicopter,Medium
263,862,61,Away,4,5,22,Helicopter,Medium
1146,13971,31,Towards,10,9,45,Fighter,Critical
310,10179,55,Towards,2,1,86,Unknown,Unknown
1064,13643,60,Towards,1,3,88,Unknown,Unknown
1541,9294,43,Towards,14,8,81,Missile,Critical
293,875,17,Away,4,6,21,Helicopter,Medium
781,11028,36,Towards,10,10,64,Fighter,Medium
2165,7895,78,Away,10,6,81,Missile,Unknown
186,1946,73,Towards,5,7,27,Helicopter,Medium
1177,12402,77,Away,11,8,59,Fighter,Medium
268,1005,55,Towards,3,6,10,Helicopter,Medium
274,654,81,Away,3,5,11,Helicopter,Medium
1989,3368,30,Away,14,4,73,Missile,Unknown
545,3603,96,Away,9,10,84,Unknown,Unknown
754,13040,27,Away,7,8,51,Fighter,Medium
152,605,26,Towards,3,7,16,Helicopter,Medium
123,489,68,Away,2,3,30,Drone,Unknown
58,239,52,Away,4,3,14,Drone,Unknown
843,2058,49,Away,6,4,37,Unknown,Unknown
93,377,59,Towards,4,3,28,Drone,Low
944,14995,22,Away,7,7,31,Fighter,Medium
1842,11001,36,Towards,17,4,90,Missile,Critical
630,12368,13,Towards,16,10,15,Unknown,Unknown
254,6834,17,Away,2,1,9,Unknown,Unknown
259,534,15,Towards,4,7,28,Helicopter,Medium
266,1374,89,Away,5,7,14,Helicopter,Medium
102,281,13,Away,4,2,6,Drone,Unknown
170,2850,71,Towards,4,7,32,Helicopter,Medium
1819,5162,22,Towards,11,2,41,Unknown,Unknown
789,11690,67,Away,10,10,63,Fighter,Medium
143,3901,24,Towards,3,4,77,Unknown,Unknown
54,312,89,Away,2,3,3,Drone,Unknown
121,495,89,Towards,4,1,11,Drone,Low
1680,7770,26,Away,15,6,83,Missile,Unknown
98,406,9,Away,1,1,24,Drone,Unknown
139,228,35,Away,2,3,30,Drone,Unknown
709,8349,73,Towards,11,10,64,Fighter,Medium
2058,6611,74,Away,13,7,76,Missile,Unknown
1025,5726,13,Towards,10,3,41,Unknown,Unknown
1197,10421,26,Away,9,9,34,Fighter,Medium
203,1520,96,Towards,5,7,40,Helicopter,Medium
51,247,7,Towards,4,1,26,Drone,Low
114,113,100,Away,1,3,28,Drone,Unknown
836,10608,89,Away,10,8,30,Fighter,Medium
1783,7749,88,Towards,10,8,74,Missile,High
1159,12749,52,Towards,10,8,68,Fighter,High
251,2095,83,Towards,5,7,10,Helicopter,Medium
807,8069,99,Towards,11,9,31,Fighter,Medium
1012,10996,74,Away,8,10,69,Fighter,Medium
1646,10826,33,Away,15,6,77,Unknown,Unknown
710,10989,9,Away,7,9,48,Fighter,Medium
56,140,53,Towards,3,3,0,Drone,Low
2438,7915,29,Towards,20,7,78,Missile,Critical
843,11971,18,Away,13,3,83,Unknown,Unknown
186,2304,53,Towards,2,5,15,Helicopter,Medium
1674,2337,82,Towards,3,10,84,Unknown,Unknown
1894,3299,17,Towards,19,7,20,Unknown,Unknown
62,330,70,Away,2,2,29,Drone,Unknown
2113,11682,8,Away,8,5,80,Unknown,Unknown
285,1926,27,Towards,3,7,29,Helicopter,Medium
966,1868,30,Towards,11,9,69,Unknown,Unknown
2420,589,74,Away,12,7,79,Missile,Unknown
116,108,19,Away,4,3,23,Drone,Unknown
64,108,18,Towards,3,1,29,Drone,Low
69,436,18,Away,4,3,17,Drone,Unknown
143,303,99,Away,2,2,7,Drone,Unknown
1850,3913,90,Towards,13,7,72,Missile,High
146,377,83,Away,2,3,25,Drone,Unknown
2282,7413,20,Away,10,8,86,Missile,Unknown
2572,5291,21,Towards,19,7,79,Missile,Critical
1564,9097,95,Away,13,7,84,Missile,Unknown
2392,9773,61,Towards,19,6,86,Missile,High
1000,13069,63,Away,12,7,37,Fighter,Medium
853,14507,8,Towards,8,10,53,Fighter,Medium
1390,2752,51,Away,1,1,62,Unknown,Unknown
1077,12327,53,Away,6,9,35,Fighter,Medium
79,237,89,Away,3,2,23,Drone,Unknown
144,252,82,Away,2,1,0,Drone,Unknown
2302,5581,61,Away,10,6,88,Missile,Unknown
424,4385,84,Towards,14,5,56,Unknown,Unknown
291,1056,52,Towards,4,7,18,Helicopter,Medium
1162,11544,51,Away,9,10,36,Fighter,Medium
887,9509,76,Towards,7,10,58,Fighter,Medium
706,11568,74,Towards,3,6,79,Unknown,Unknown
2648,4511,54,Away,19,8,72,Missile,Unknown
1107,12016,100,Towards,6,10,70,Fighter,High
123,233,27,Towards,3,3,9,Drone,Low
857,12918,25,Towards,8,8,47,Fighter,Medium
177,2700,45,Towards,2,6,23,Helicopter,Medium
1194,14305,94,Away,7,10,50,Fighter,Medium
2173,3811,25,Away,16,8,79,Missile,Unknown
113,354,79,Away,4,2,16,Drone,Unknown
279,1887,99,Away,4,5,33,Helicopter,Medium
185,2605,58,Away,2,7,32,Helicopter,Medium
129,410,17,Away,3,2,23,Drone,Unknown
905,13330,99,Away,7,10,60,Fighter,Medium
106,178,48,Away,2,2,21,Drone,Unknown
2905,5397,6,Away,14,4,74,Missile,Unknown
1579,3062,40,Towards,13,7,24,Unknown,Unknown
82,174,63,Away,1,2,13,Drone,Unknown
1208,10362,23,Towards,5,9,53,Unknown,Unknown
830,10239,84,Away,8,9,41,Fighter,Medium
852,9637,88,Away,10,9,38,Fighter,Medium
1200,14192,95,Away,11,7,62,Fighter,Medium
140,198,26,Away,2,3,8,Drone,Unknown
80,352,5,Towards,4,3,28,Drone,Low
140,390,70,Away,3,3,28,Drone,Unknown
133,424,12,Towards,4,3,4,Drone,Low
87,311,68,Away,3,1,28,Drone,Unknown
193,2744,23,Towards,2,8,38,Helicopter,Medium
1011,14070,69,Away,9,9,38,Fighter,Medium
276,2883,79,Towards,2,7,37,Helicopter,Medium
72,194,36,Towards,1,1,8,Drone,Low
125,370,6,Towards,3,2,19,Drone,Low
1899,2889,30,Towards,15,8,84,Missile,Critical
2791,4551,97,Away,10,4,73,Missile,Unknown
287,2514,16,Away,2,5,15,Helicopter,Medium
114,163,6,Away,3,2,26,Drone,Unknown
293,1638,81,Towards,4,7,26,Helicopter,Medium
183,626,57,Away,4,5,29,Helicopter,Medium
168,705,92,Away,2,6,27,Helicopter,Medium
276,934,44,Towards,4,7,24,Helicopter,Medium
470,2070,95,Away,16,5,0,Unknown,Unknown
299,2307,44,Away,3,8,33,Helicopter,Medium
2132,3571,8,Away,20,4,71,Missile,Unknown
128,200,70,Towards,2,2,1,Drone,Low
202,1216,76,Away,3,8,12,Helicopter,Medium
1087,14363,41,Towards,9,10,51,Fighter,Critical
2037,5523,78,Towards,9,4,23,Unknown,Unknown
2240,7439,92,Away,10,6,86,Missile,Unknown
763,11945,51,Towards,12,9,31,Fighter,Medium
370,11916,7,Towards,5,4,36,Unknown,Unknown
179,1294,35,Away,2,6,18,Helicopter,Medium
936,8746,84,Away,7,8,44,Fighter,Medium
1174,12053,96,Towards,10,9,45,Fighter,High
78,457,51,Towards,4,3,21,Drone,Low
2479,4982,47,Towards,20,5,70,Unknown,Unknown
681,11470,29,Away,6,9,15,Unknown,Unknown
1096,13418,40,Away,9,9,33,Fighter,Medium
2173,3319,99,Towards,2,6,60,Unknown,Unknown
83,228,73,Away,4,3,13,Drone,Unknown
230,923,79,Away,3,8,18,Helicopter,Medium
1649,2924,71,Towards,16,1,71,Unknown,Unknown
1518,1814,81,Towards,14,5,22,Unknown,Unknown
1153,8999,64,Away,12,10,37,Fighter,Medium
993,14878,94,Towards,8,8,42,Fighter,High
57,290,60,Towards,1,3,12,Drone,Low
1730,10607,26,Away,20,7,86,Missile,Unknown
53,442,53,Towards,3,3,23,Drone,Low
752,10373,61,Away,4,4,31,Unknown,Unknown
224,2532,39,Away,3,7,25,Helicopter,Medium
130,273,48,Towards,1,2,28,Drone,Low
115,209,70,Towards,2,3,1,Drone,Low
219,2208,53,Towards,4,7,18,Helicopter,Medium
1311,3052,62,Towards,13,2,53,Unknown,Unknown
1156,13521,85,Towards,6,8,43,Fighter,High
89,236,12,Away,4,1,25,Drone,Unknown
1184,13509,9,Away,10,9,60,Fighter,Medium
818,8539,67,Towards,7,8,37,Fighter,Medium
55,266,98,Towards,3,1,16,Drone,Low
118,420,96,Away,1,1,17,Drone,Unknown
1462,9351,51,Towards,20,2,41,Unknown,Unknown
272,2941,66,Towards,2,8,32,Helicopter,Medium
1376,7918,40,Away,12,4,89,Missile,Unknown
927,13858,10,Away,7,9,37,Fighter,Medium
125,294,75,Away,2,3,2,Drone,Unknown
744,14205,92,Away,7,8,65,Fighter,Medium
239,2108,53,Away,3,6,11,Helicopter,Medium
561,1638,76,Towards,2,4,27,Unknown,Unknown
67,447,20,Towards,2,1,21,Drone,Low
58,313,80,Away,2,3,6,Drone,Unknown
588,4584,46,Away,10,10,38,Unknown,Unknown
1298,12907,96,Towards,18,6,88,Unknown,Unknown
1030,13534,89,Away,6,7,49,Fighter,Medium
225,664,46,Towards,3,7,24,Helicopter,Medium
140,207,64,Away,3,3,24,Drone,Unknown
1027,9115,37,Towards,9,7,41,Fighter,Critical
1672,7931,65,Away,13,6,85,Missile,Unknown
232,588,19,Away,3,6,18,Helicopter,Medium
65,231,69,Towards,3,2,5,Drone,Low
1463,8871,78,Towards,16,9,0,Unknown,Unknown
1015,13395,51,Towards,8,7,57,Fighter,High
261,1516,99,Towards,5,8,11,Helicopter,Medium
184,1040,28,Away,4,7,18,Helicopter,Medium
882,9563,30,Towards,12,8,70,Fighter,Medium
121,455,16,Towards,2,3,11,Drone,Low
926,11955,48,Towards,12,9,67,Fighter,Critical
1721,4488,77,Away,12,6,63,Unknown,Unknown
2253,1835,16,Away,20,4,83,Missile,Unknown
2227,6039,98,Away,2,8,46,Unknown,Unknown
1449,11612,42,Towards,17,4,89,Missile,Critical
249,1996,43,Towards,5,7,23,Helicopter,Medium
2625,3801,80,Towards,18,8,84,Missile,High
62,402,15,Towards,1,2,29,Drone,Low
110,225,82,Away,1,2,14,Drone,Unknown
1418,4949,32,Away,17,7,80,Missile,Unknown
713,14110,98,Towards,20,10,90,Unknown,Unknown
749,940,70,Towards,4,5,87,Unknown,Unknown
1760,2959,25,Away,18,7,83,Missile,Unknown
980,8344,45,Towards,12,10,46,Fighter,Critical
2184,6959,83,Away,15,4,75,Missile,Unknown
1135,8097,56,Away,11,7,51,Fighter,Medium
2908,7839,100,Away,10,6,81,Missile,Unknown
110,221,68,Towards,1,2,25,Drone,Low
959,14194,90,Away,10,9,38,Fighter,Medium
141,265,92,Away,1,3,14,Drone,Unknown
298,620,59,Towards,4,6,21,Helicopter,Medium
119,399,62,Away,3,2,15,Drone,Unknown
150,398,100,Towards,4,1,26,Drone,Low
2043,7265,35,Towards,9,8,72,Unknown,Unknown
1652,11142,29,Away,16,6,80,Missile,Unknown
897,11516,6,Towards,6,8,42,Fighter,Medium
1097,13879,57,Towards,7,9,69,Fighter,High
2606,7417,80,Away,13,5,88,Missile,Unknown
65,107,100,Away,4,1,17,Drone,Unknown
96,268,14,Towards,4,1,20,Drone,Low
1698,7431,87,Away,4,3,50,Unknown,Unknown
1171,12645,83,Away,13,7,89,Unknown,Unknown
776,11342,41,Away,3,9,51,Unknown,Unknown
632,6883,49,Away,20,4,39,Unknown,Unknown
133,417,19,Away,3,1,15,Drone,Unknown
2571,10424,96,Towards,20,4,79,Missile,High
955,11422,97,Away,9,10,45,Fighter,Medium
1294,11980,18,Away,19,7,77,Missile,Unknown
84,474,29,Towards,2,2,9,Drone,Low
886,12842,65,Away,12,10,42,Fighter,Medium
117,281,47,Towards,2,2,8,Drone,Low
1788,8169,44,Towards,13,5,89,Missile,Critical
287,1895,42,Towards,4,7,11,Helicopter,Medium
280,2445,98,Away,3,7,15,Helicopter,Medium
229,1409,48,Away,5,5,17,Helicopter,Medium
816,8841,74,Away,11,7,30,Fighter,Medium
786,9800,22,Towards,3,9,9,Unknown,Unknown
111,151,95,Away,2,3,28,Drone,Unknown
238,1739,64,Away,2,7,23,Helicopter,Medium
299,2818,60,Towards,8,7,14,Unknown,Unknown
732,8945,94,Away,10,9,63,Fighter,Medium
1174,9104,32,Away,11,7,57,Fighter,Medium
1076,1161,66,Towards,19,3,42,Unknown,Unknown
276,1653,51,Towards,4,5,30,Helicopter,Medium
212,574,95,Away,3,5,13,Helicopter,Medium
2383,8941,23,Away,18,9,4,Unknown,Unknown
82,247,48,Towards,3,1,0,Drone,Low
2133,1816,7,Away,12,5,82,Missile,Unknown
1554,3904,57,Away,18,10,50,Unknown,Unknown
